lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2
CR,iceon,1986-11-19,1986,323,NA,NA
CR,iceon,1987-12-03,1987,337,NA,NA
CR,iceon,1988-12-01,1988,336,NA,NA
CR,iceon,1989-11-22,1989,326,NA,NA
CR,iceon,1990-12-03,1990,337,NA,NA
CR,iceon,1991-11-27,1991,331,NA,NA
CR,iceon,1992-11-30,1992,335,NA,NA
CR,iceon,1993-12-01,1993,335,NA,NA
CR,iceon,1994-12-02,1994,336,NA,NA
CR,iceon,1995-11-24,1995,328,NA,NA
CR,iceon,1996-11-25,1996,330,NA,NA
CR,iceon,1997-11-24,1997,328,NA,NA
CR,iceon,1998-12-21,1998,355,NA,NA
CR,iceon,1999-12-17,1999,351,NA,NA
CR,iceon,2000-12-04,2000,339,NA,NA
CR,iceon,2001-12-26,2001,360,NA,NA
CR,iceon,2002-11-27,2002,331,NA,NA
CR,iceon,2003-12-03,2003,337,NA,NA
CR,iceon,2004-12-17,2004,352,NA,NA
CR,iceon,2005-12-03,2005,337,NA,NA
CR,iceon,2006-12-05,2006,339,NA,NA
